,person_ctry_code,year,total,B60L,H01M,F03D,H01L,RTA_B60L,RTA_H01M,RTA_F03D,RTA_H01L
20,BG,1999,1722.53131493,2.75,19.3517460317,2.2,4.41904761905,0.649263075143,0.509600269541,0.316423554577,0.0249948881405
21,BG,2002,1575.35964313,1.5,5.0497665733,10.4,15.0180952381,0.387227934708,0.145401272285,1.63556147977,0.0928805504074
22,BG,2005,1305.03807372,1.83333333333,1.62748917749,8.93571428571,14.1259986772,0.571312056499,0.0565680940521,1.6963651506,0.105459478904
23,BG,2008,1109.60671828,0.0,7.36666666667,9.34285714286,17.4891941392,0.0,0.301147013488,2.08604599921,0.153564334878
24,BG,2011,986.406835317,4.08333333333,4.43601190476,12.0,18.3220238095,1.68350301093,0.203992053163,3.01396651522,0.180970177387
25,BR,1999,18353.4454462,3.83333333333,23.3833333333,11.5,8.52916666667,0.0849403638308,0.0577916953054,0.155236372278,0.00452771036663
26,BR,2002,20177.4074898,7.86111111111,16.6166666667,34.5714285714,17.5033730159,0.158443236997,0.0373555523417,0.424487798329,0.00845173799345
27,BR,2005,23196.5131976,8.75,34.5261904762,36.5833333333,29.3126623377,0.153405341241,0.0675153576911,0.390727353492,0.0123118183358
28,BR,2008,24755.6294954,12.5333333333,53.9777777778,67.5952380952,29.1701777088,0.205895925559,0.0989048630664,0.676480649036,0.0114803397994
29,BR,2011,21581.4721049,20.1666666667,38.1674603175,68.9404761905,45.4345238095,0.380021520447,0.0802211376634,0.791418984136,0.0205113647361
30,CA,1999,43029.5059943,14.5615079365,457.362943388,18.95,198.001372088,0.13762430146,0.482137856985,0.109107876693,0.0448323476801
31,CA,2002,54755.0446085,40.1245421245,695.395170389,51.0177386339,372.600105909,0.298017034586,0.576081796425,0.23083960234,0.066299229133
32,CA,2005,60073.2811174,44.1717571318,900.677998297,116.29950605,459.272506879,0.29903254636,0.680087542918,0.479633785274,0.0744867005277
33,CA,2008,62207.9798179,38.3193843194,551.113695994,132.689108114,637.831190766,0.25051143869,0.401857173435,0.528448204901,0.0998962756154
34,CA,2011,55719.4000492,46.1681027306,416.826163063,137.496995766,632.734109938,0.336969607935,0.339332266787,0.611364233423,0.110638036005
